0	吃海鮮，天氣超好，人爆多，祝大家Happy monter's day
1	開好久，超塞車的!
2	看電視介紹打卡記錄，有機會可以去
3	喝晚茶!
4	null
5	好多人，人擠人熱死了！
來探探路(￣?￣)
6	吃飯飯了！
7	路過……╮(╯_╰)╭
辛苦的警察
不死心的民眾
發財的生意人
全部聚集在這裡!
8	Good morning !
9	今天也有認真喔！
下課回家囉
10	下課回家囉！
以後繼續認真,(≧3≦) go go go!
11	今天一樣，早安，台北!
(￣?￣)
12	早安，台北( ’▽` )?
13	悠閒的下午茶， 謝謝吳專員泡的咖啡喔！
14	清明掃墓囉！
15	好吃的牛排!
16	打卡送可樂呦！
17	晚餐，開動囉！
18	開唱了喔！！
好大的包箱喔！
19	昨天睡不好，心情Downing…
20	家庭聚餐囉，好好吃哦！
21	廠商春酒，席開百桌!
22	低溫的半夜，超熱血的(≧?≦)
帶著兩個老人家去看“鐵獅玉玲瓏
現在偶要晚安了！(-_-) zzz
23	拜天公，求平安！
24	不是飯吃飽，是零食吃好飽!
抽到獎比較重要！
25	什麼爛點子，好無趣的表演，我想睡午覺！
26	到了！今天的盛會！
27	吃廠商尾牙呦！
謝謝所長的邀請。
28	今天晚上真的十全烏骨雞好澎湃哦…好補！
謝謝主任的邀請。。
29	美好的下午就該如此才對！
30	null
31	聚餐囉！
超飽…………ing!
32	好好吃！
33	今天的天氣很好，太陽公公好可愛！
34	祝福你們喔！
（哈……剛才忘了連新人一起打卡，現在補上一下）
35	今天真的很冷，但是還是要不怕留鼻水……嘻嘻！
36	祝新人幸福美滿哦！
37	我來了……傳說中高雄最大的夜市＆吃土盆栽……哈！
38	吃蕃茄囉！
39	金山、九份文化之員工旅遊
40	金山吃鴨肉，好久沒來了！
41	看完電影，放飯了
42	今天是怎樣的日子呀？！
怎麼爆多人看電影呀！
我跟我可愛的阿媽來看早鳥場……哈
43	開飯了！
44	null
45	大溪天氣超好！
拜拜順便曬曬太陽哦！
46	大家早安！
工作真的有累到，早上哈欠打不停，眼睛沒有爭全開！
睡不飽！
47	敏愉，我也要學你吃韓國料理……哈哈！
48	客戶服務囉！！
49	我是早起鳥兒萬步走∼Go Go Go!!
50	喬傑生日快樂哦！
51	開喝了！
好high哦！
52	客戶服務！！
53	我的心肝寶貝生病了要住院檢查，嗚…………不……希望是誤會一場！
54	null
55	今天的我！！
Very good!
56	VIP室 咖啡饗宴
57	吃喜宴囉！
又到了紅色炸彈的季節了！
58	一個人的午餐。
感謝阿姐的愛心！
59	null
60	比基尼辣妹來囉！
61	秋蟹好味道！！
62	M3好好看喔！也很好開耶！
有朋友想買找我喔！絕對有優惠。
63	超好吃的芭樂＆菜脯紅豆餅
謝謝梅子姨的愛心晚餐！！
64	真的滿好逛的，而且剛好是週年慶∼哈哈！！
65	大家早安……
嘻︿∼︿……我在那裡呀？！
66	最最最……厲害的燉12小時的招牌雞湯＆噴火火山圓鱈頭……噢麥尬，真的太好吃又營養了！
67	真的好好吃！
68	哇…超漂亮又好吃的創意菜，真的很特別呦！
69	DIY手作南瓜披薩呦！
70	放大版的糖葫蘆＆可愛的小童子！啾∼
71	今天第一站
我來了！
72	逛夜市囉！
懷念一下！
73	我化身為原住民公主
還有我的手工吊飾“大豐收”！！
74	公司旅遊……出發囉！！
75	喝咖啡吹冷氣囉
悠閒的星期六！！
76	有誰要托我買東西呀？！
快喔！只限中壢的朋友們
77	就是要喝星巴克！！
78	偶來了！
79	喝下午茶囉！
80	天氣很好呦！
81	下午茶時間到囉！！風好舒爽……呦！
82	天氣好好喔！心情好！
83	好緊張
84	晚餐！
85	晚餐中！！
86	吃消夜！
87	吃喜宴
88	下午茶時間到了！
89	爆多人……排隊等爆久的
90	今天天氣晴 心情晴！！
91	早起爬山身體好……
92	早安呦！
93	喝一下！
94	我的午餐，開動了！
95	吃消夜囉！
96	車好多！
97	單身美女終於出嫁了，一定會幸福美滿滴！
98	美麗的幸福莊園...
99	我變瘦了……嗚！
100	謝謝阿佩哥的愛心呦！
101	謝謝阿佩哥的愛心呦！
102	噢…花錢消災……Good
103	吃飯囉！
104	飽爆了！
105	超多人好熱鬧 ，很有古早味喔！
106	熱死了……天氣爆好的
107	進香囉！
108	第一站 休息一下囉！
109	早安，出發囉！
110	好可愛的店喔！
111	超新鮮又好吃
112	Go~出遊去
113	看吧！我漂亮的手（；＿；）
114	尾牙囉
115	今天很認真，連續上兩堂課，手好酸喔！
116	null
117	新的2013 新的髮型呦！
118	null
119	null
120	null
121	新店開幕，超熱鬧的陣容，超可愛的電音三太子
122	今天是星期三吧??像假日一樣人多到爆
123	好吃的來囉!
124	來上課囉
125	運動完要回家囉!
126	哇，今天的喜宴菜單真的是很豐富呦!
有大秋蟹.大干貝...還有蟹肉羹 真的是很多海鮮...
127	到半路了，繼續向雪隧前進囉
128	飯後來一杯星巴克真好!
我的小7city裝大杯剛剛好!
129	健身房裡真的可以常常看到身材很好的猛男耶!
偷看了一下真的會有臉紅的fu喔!
CC.....:P — 在 World Gym 世界健身 中壢分館 。
130	好好喝，真的好喝喔!
131	這裡超多可怕的小惡魔呦！
132	出發囉
133	真的後悔跟一個無聊的人
134	吃喜宴囉!菜好像看起來很棒喔!
135	吃喜宴喔!
136	null
137	我真的是頭殼壞了，我居然到了客戶家才發現我要給的東西忘記帶••••••我真的會被自己氣死•••((((；???)))))))噢••••
138	null
139	又甜又香的有機水果玉米，超好吃?(＠???＠)?
謝謝親愛的阿箱阿姨辛苦種的愛心！
140	寶貝車看診中••••
中午時刻”等待”總是另人很想睡覺(@￣ρ￣@)
141	醫院真的很大會迷路
142	null
143	相聚歡，哈!
144	菜很好喔...烤大蝦呦!
145	null
146	恭喜新娘子
147	買飯
148	買飯糰
149	打工中....
150	null
151	晚會開始囉...肚子好飽喔!
152	貼一下囉!
153	打卡
154	GO 了
155	null
156	我今天連跳兩堂很認真
157	做完運動要回家囉
158	剛才很認真的跳完BODYJAM，我是啵棒的早鳥 ....啾
159	null
160	null
161	null
162	null
163	null
164	null
165	null
166	吃晚飯....
167	喝咖啡囉
168	null
169	null
170	null
171	null
172	跳躍的我...
173	null
174	夕陽無限好....
175	null
176	null
177	null
178	null
179	null
180	null
181	好美的景色
182	星期六的晚上居然是如此冷清的休息站
183	排隊一下還好人沒很多
184	陪老公&小孩吃早餐
185	這下車就濕透了吧！坐著等等
186	泡泡腳
187	吃冰棒
188	吃飯了
189	真好，平日真悠閒
190	早上帶兩個寶貝去Ikea吃早餐，兒子吃飽去球屋玩一個小時，姐姐寫功課我呢看書準備１２號考試題目，接著還是吃午餐，接著送姐姐上Diy點心班!
我隱形眼鏡不見快一個月上個禮拜日老公帶我去結果他們休息，於是今天我又帶著兒子到莊敬路配隱形眼鏡，緊接著在坐公車到大同親子館，兒子五點結束我在回點心班接小公主！晚上６：３０再去基督書院看亞東劇團的戲劇真是…真是個好充實的星期六
191	吃火鍋
192	哇！跟老公的廠商吃飯，還這麼多菜，不過已經甲霸啦
193	天天都是玩火車
194	花十元找樂子
195	玩石頭Part2，兩個寶貝愛上玩石頭
196	洗好香香啦！小孩還要看魚，都不會累，可是我累了啦！
197	玩石頭
198	好熱喔！吃個涼快的
199	帶兩個寶貝吃早餐
200	評估居然整場有七位老師，兒子表現很棒喔！
201	準備下課準備下一堂課程今天真忙
202	甜蜜下午茶
203	好冷，吃火鍋
204	好冷來上課運動啦！
205	陪兒子玩耍
206	帶寶貝吃早餐
207	感謝主，請各位弟兄姐妹幫我外婆劉翁春燕代禱，外婆在上個月１６日摔倒至今兩腿疼痛到無法行走在雙和醫院急診室中準備住院，請各位幫忙代禱求神醫治的大能醫治外婆的雙腳
208	玩累了，逛累了，吃飽了，真是享受人生
209	跟老公來晃晃順便吃晚餐
210	來外婆家拜年
211	晚餐吃這個啦！
212	我們都是小幫手
213	野餐順便曬太陽
214	帶大公主小王子來玩玩+拍照
215	來跑一跑
216	來曬太陽
217	來好朋友這，變美美ing
218	玫瑰小組聚餐
219	小可愛
220	吃午餐
221	謝謝臺北醫院老師送的聖誕節禮物
222	運動一下
223	晚餐時間
224	我們是可愛藝術家
225	聖誕節活動Diy馬賽克
226	晚上耶誕節晚會，準備中
227	null
228	皓文耶誕節表演，準備中！
229	感謝主，今天一切真是美好
230	聽詩歌過耶誕
231	吃午餐
232	這隻柴犬寶貝在找爸爸媽媽喔！有想要要領養的告訴我
233	吃午餐
234	吃晚餐啦
235	跟老公拍一下
236	談完生意來吹吹風
237	幸運的９：５９，吃早餐送咖啡是到１３日結束，不過請注意是要在十點前結帳才有此優惠喔
238	失夢者記事
239	從小培養音樂素養
240	皓婷寶貝運動會
241	跟老公兒子提早來看聖誕老人爬樹
242	等等還要看醫生先運動一下
243	null
244	大家一起來歡迎我們的黑妹
245	萬聖節走秀
246	孩子們玩蛇板
247	聽故事
248	遇見彩虹，今天談的事情擁有主的祝福！
249	玫瑰小組聚餐&泡湯
250	null
251	大人小孩都來跟醫師聊聊天
252	騎卡打恰
253	劉牧師來吃飯聊神的話
254	姐姐嫁女兒
255	三十二周年義賣開始
256	吃午餐
257	和好朋友一起用餐
258	以為開幕了結果還沒下禮拜再來吧
259	老闆娘請喝咖啡談生意
260	帶弟弟來玩
261	女兒跟老公去Baby Boss我跟兒子來這裡玩
262	兒子想吃，所以來了
263	中場吃點心
264	好看的信值得再看「天堂邊緣」
265	來散散步
266	煮好了，今天姑姑來家裡送喜帖一起吃飯
267	吃晚餐
268	宵夜場吃點東西聊聊心事
269	和好朋友吃飯
270	《天堂邊緣》
271	詩班聚餐
272	《天堂邊緣》準備開始
273	今天的節目：《天堂邊緣》音樂劇
274	謝謝辛苦的老公連早餐都來不及吃外帶！今天有兩個點要變更用電現場測負載，而我呢，吃早餐等老公！
275	祝小愷生日快樂喔！
276	出發，烤肉去
277	開心的孩子
278	吃早餐
279	你使我心裡快樂，勝過那豐收五穀新酒的人。            詩篇四章七節

早安，今天星期三一樣是要陪兒子在臺北醫院上課，所以在醫院的萊爾富買早餐看到門口扭蛋是玩具總動員的手錶就跟兒子邊投錢邊禱告，主阿，皓文不要骷髏頭的請給皓文胡迪的，阿門，結果轉完居然沒有東西掉下來！所以只好請萊爾富叔叔幫忙看一下，於是叔叔拿鑰匙打開問皓文你想要哪一個圖案！
  感謝主，你不但沒有給皓文骷髏頭的你直接給他「心裡所想的」謝謝耶穌，讓我們知道你是信實的神超過我們心裡所求所想的，感謝主，阿門！
280	我親愛的老公真是太棒了好有才華喔！這是明天兒子中秋節活動的「柚子憤怒鳥」
281	與最愛的家人吃飯
282	昨天沒吃到今天終於一飽口福
283	黃國倫……演唱我願意
284	聽音樂會
285	第二輪
286	吃飽飽等等聽音樂會
287	詩班練詩
288	吃飽了
289	阿金等等見
290	便宜又好吃
291	土城也有懷舊餐廳親民的價位口味還不錯
292	上課了
293	第二次會議，談詳細細節
294	好棒的訂婚典禮
295	祝福的婚禮
296	試聽Auto Cad
297	上職能課好好玩
298	小孩寫功課
299	感謝主這次不是吃拉麵是來談生意……順利啦
300	謝謝好朋友阮氏夫妻招待我們家一起吃飯，謝謝你們讓我們度過開心的晚餐
301	腳好痛喔
302	和合作廠商泡茶聊天談生意
303	敬拜練詩
304	吃飽了，回教會
305	null
306	大家晚安囉！難得今天陪孩子們玩，準備上床睡覺囉
307	感謝主談生意一切順利
308	陪兒子上課
309	我們吃飽了
310	吃飯了
311	準備回臺北啦
312	朋友開的來逛逛
313	亂逛
314	晃晃買杯咖啡
315	兒子先睡飽來去宜蘭走走
316	吃飽了兒子開始耍帥囉
317	好餓啊吃飯啦
318	林書豪：勇敢夢做自己
319	現宰牛肉，清蒸活魚好好吃
320	五分飽留點胃等等買肯德基
321	今年情人是幼稚園老師，一起過情人節
322	陪兒子上職能課程
323	吃飽了，滿足了
324	我53號……等待中
325	謝謝胖爸爸幫皓文慶祝五歲生日
326	晃晃買牛奶和青菜
327	強化中小企業持續營運能力國際研討會，全程英文演講希望今天收穫良多
328	老公爸爸節快樂！吃飽了，與很多好朋友們度過愉快的一天謝謝你們，好開心
329	朋友們晚安！想和大家分享我人生中第一場安息禮拜的經歷。今天早上10：15就抵達第二殯儀館參加林阿滿弟兄的安息禮拜！感謝主也感謝芝蘭教會讓我們有機會可以參與！武松負責拍照紀錄而我就負責詩班唱詩，一切在溫馨裡沒有以往參加告別式的感覺，瞻仰遺容也是如此的安詳，一路陪伴家屬到火葬場。感謝主，希望可以帶領他們親屬也奔走在屬天的道路！
330	皓文四歲囉八月小壽星
331	八月小壽星準備過生日，時間過好快弟弟長大囉
332	好好吃的麵條
333	今天運氣超好不用排隊欸
334	看看外婆
335	感謝主一切非常順利
336	逛逛看風景來餵吃不飽的魚
337	獻詩，哈利路亞
338	夏令營結束了接孩子們回家了
339	感謝主平安回到家了，也累了，晚安啦我的朋友們
340	感謝主！結束充滿的行程準備回家啦
341	談合作細節ing
342	吃午餐
343	談合作細節ing
344	目的地……臺中
345	好好吃，吃飽了
346	吃午餐
347	小公主皓婷人生第一次夏令營即將開始五天四夜的旅程
348	兒子長大了今天開始中班上課囉
349	吃晚餐啦
350	無聊來晃晃
351	醫治特會
352	送對帳單來
353	不是假日人也這麼多
354	好美，好清楚的龜山島
355	第一次現場看京劇表演，好好看喔
356	2013國際金獅獎大手牽小手
357	吃晚餐
358	帶兒子來阿祖家給阿祖玩
359	感謝主拿合約內容資料
360	兒子剪帥帥
361	肚子餓了吃點心
362	好涼快
363	到了到了，玩水啦！
364	感謝主工作順利完成，天氣好熱！來去蘇澳冷泉玩水
365	很開心今天大家與明輝夫妻一同慶祝上任資誠所長吃飯慶祝
366	大家一起慶祝鳳儀老公上任資誠會計所長
367	感謝主！簽約完成
368	五股工業區發生大火，希望一切平安
369	主與我們同在
370	夕陽下踏浪真舒服
371	來吹海風玩沙吃
372	結束兩天一夜礁溪退修會回到家了很開心收穫滿滿！
373	四人房間有兩個泡湯池喔採光很好很棒的地方
374	跟教會牧師師母還有許多的弟兄姐妹一起來靈命增長
375	Omg出發來去宜蘭礁溪度假才剛上來就塞車了還沒到雪隧還很遠欸
376	領第一名學期成就獎
377	歐意係
378	談合約內容ing
379	拿資料看現場
380	談生意ing
381	香料很多的午餐
382	真的是印度人煮的欸
383	拿資料看現場，官邸這間真的是氣派漂亮
384	好開心喔！平安喜樂乃是良藥
385	感謝主！十五間店面資料準備簽約
386	還不錯吃喔
387	吃晚餐啦
388	現在的小孩真的好幸福
389	來陪小王子玩耍
390	吃晚餐
391	幫小寶貝皓文辦入學手續
392	逛完閃人
393	今日的愛筵
394	屬靈裝備中
395	吃早餐，今天不是假日不過有點擠
396	好好吃的晚餐
397	想來買杯喝喝看在出發日月潭居然下雨了
398	準備換泳衣來去玩水
399	null
400	好精彩從蒙谷來的馬術表演
401	走了60分鐘終於到了剛好開始
402	來給羊妹妹看
403	出發，來去山上避暑啦
404	來去度假啦今天第一天目的地埔里滿星蝶民宿
405	刮痧ing
406	吃午餐啦
407	準備簽約啦
408	吃午餐
409	無意間晃來就吃一下
410	這雨大到只能用誇張來形容
411	買生魚片
412	買生魚片回家吃
413	讚美神！讚美神！眾人都當稱呼！來就近父神藉著祂的兒子並將榮耀歸他，祂已做大事
414	帶孩子們吃飯
415	null
416	晚餐吃海鮮
417	真的好熱吃小米粥配牛肉捲餅
418	我們吃飽了
419	開心一起吃晚餐
420	排隊買冰回家吃
421	一個人的下午茶
422	草泥馬
423	跟師母吃晚餐
424	現烤的好好吃不過排隊排好長
425	感謝主，今天詳談合約內容一切順利
426	開心的放鬆一下
427	悠閒的早上父女倆下琪
428	null
429	null
430	鱷魚湯還不錯喝喔
431	看螢火蟲
432	還沒開始在等15分鍾才有的吃
433	喝咖啡在來看風景
434	來民宿來度假啦！老公表弟開的民宿，明天在拍照喔
435	開心，談生意
436	出發來去臺中囉
437	退火
438	屬靈生活
439	這間的海鮮好吃喔
440	陪小孩玩開車車
441	美體小舖談生意超順利的Oh!Yes
442	null
443	吃晚餐
444	今天下午兒子想去高島屋玩，就先買點點心進教會結果吃完兒子居然睡著了，感謝主謝謝黃牧師今天幫我們上一課讓屬靈生命增長
445	吃早餐
446	謝謝今天朋友的代步車準備坐車回臺北
447	吃冰棒
448	買蛋糕
449	吃在地小吃
450	早安，主耶穌及我的朋友們！好多年沒到埔理這裡真的好山好水好空氣，真好工作中邊走邊休閒，下午行程邊工作邊玩耍啦
451	來去臺中嚕
452	null
453	null
454	談生意
455	吃早餐
456	談生意
457	吃午餐
458	兒子的最愛
459	今日主日告訴我們撒旦會用各種方式不斷試探我們，我們必須不斷及信心的禱告主會給我們智慧分辨誰是撒旦
460	難得的空檔幫冰箱存點糧食
461	買甜點
462	好多人喔肚子餓先吃點
463	排隊中先逛逛
464	零時來沒訂位要等四十分鐘等待中
465	null
466	超特別的高雄的薑母鴨居然是一桶豆乳欸
467	灣看夕陽西子
468	來看看船
469	談生意
470	跟貞瑜一起享用午餐
471	談談生意
472	買巷子裡的牛肉麵
473	晚餐時間吃蝦謝謝陳會及慧靰獐鰡〝菻
474	跟陳會及慧雂弮痗圻n朋友一起吃飯
475	天阿！大臺中市停水到明天，想喝咖啡下次囉
476	好快到了欸
477	往臺中出發
478	吃清淡點
479	亂逛隨便吃
480	敬拜讚美主
481	來吃好吃的麵
482	好好吃煙燻魟魚烤牡丹蝦
483	喝咖啡談未來
484	來看飛機
485	祝福永遠幸福元長&佳佩
486	排隊排真長
487	陪貞瑜參加科士威總公司美容講師面試，感謝主
488	出發
489	陪老公剪帥帥排隊中
490	謝謝攸雯做的愛心鳳梨酥給你1000個讚
491	樊鴻台牧師醫治釋放特會
492	吃晚餐
493	好久沒吃囉
494	今晚想吃魚
495	忽然想到沒吃午餐買個點心等等有人請吃晚餐
496	來看展
497	讚啦！老公煮拿手的酒釀芝麻湯圓
498	大姐姐說故事：元宵節的由來
499	謝謝黃仲明牧師送我公婆聖經
500	帶我們信主的劉文復牧師今日來教會主日學
501	吃晚餐囉
502	來餵鳥餵魚結果都吃飽了自己吃
503	吃晚餐嚕
504	好朋友一起吃飯
505	大人曬太陽小孩吹泡泡
506	應小孩要求走進來吃下午茶
507	從家裡走路五分鐘就到了
508	來補一下
509	和十三年不見從澳洲回來的高中同學吃飯
510	店裡的寶貝們等我們回去喔
511	桃園也有櫻花
512	兒子想玩車車
513	遛小孩+餵鴿子
514	親戚開的拉麵店歡迎朋友來喔
515	到了：兒子睡著了
516	我們若照祂的旨意求什麼。祂就聽我們，這是我們向祂所存坦然無懼的心(約壹5：14)
誰能知道自己的錯失呢？願你赦免我隱而未現的過錯(詩19：12)
517	人若認自己的罪，神是信實的，是公義的，必赦免我們的罪，洗淨我們一切的罪(約壹1：9)
518	捏麵人diy
519	準備回臺北囉
520	幫丁丁買餅
521	吃晚餐
522	我好像走到逢甲夜市
523	吃飽了，喝杯好咖啡
524	有五十種好多好吃的小菜(整間店小菜稱場面)
525	星期二……人還是很多
526	來了一定要喝杯好咖啡
527	出發來去三峽外婆家
528	今天家裡聚餐喝第三瓶
529	兒子玩的很開心
530	寶貝皓文火車初體驗
531	早上進店裡開會，老公帶兒子來吃早餐
532	我吃晚餐老公&丁丁陪我吃宵夜
533	總裁來臺北
534	到西螺囉跟議員吃晚餐
535	吃早餐
536	總裁來臺灣了
537	出發來去臺中囉
538	芝蘭電影院……寒戰
539	祝福我親愛的朋友們……把不開心留在2012準備一起迎接開心的2013Happy new year
540	null
541	太陽公公出來了來去動物園給動物看
542	null
543	好朋友吃宵夜
544	帶兒子上課
545	厚……每個都要排隊
546	排隊的人好多
547	昨天沒玩今天來旋轉一下
548	吃點心
549	喝喜酒
550	三立來借場地拍片
551	吃飯了
552	吃完薑母鴨準備睡覺囉
553	感謝主帶我信主的牧師……來自美國劉文復牧師
554	吃完藥燉排骨繼續下一攤
555	吃飽了喝足了正事談好了……回家休息
556	來跟老大媽董事長吃飯聊天
557	來參觀臺灣好大的總倉有兩個costco大
558	儲值etc在繼續往臺中出發
559	今天煮紅燒獅子頭
560	喝點小酒
561	歡迎大家來逛逛，記得打電話給我帶進場
562	吃晚餐
563	好多人喔
564	開會ing十點準時營業
565	設計師朋友--陳立畫展歡迎朋友一起來看畫
566	出發，帶兒子來去店裡跑跑
567	菜市場的小火車
568	早餐……寶貝說：媽媽我要吃鍋貼
569	11個男人MAN's  Talk & Me
570	來去充電囉前進昆陽店
571	吃晚餐囉
572	真快一轉眼女兒十歲了
573	朋友開的……好好吃喔
574	吃午餐
575	靠著耶穌得勝，不必懼怕挫敗，深知主恩更廣闊……是你帶領著我得勝~~感謝主
576	和好朋友一起吃薑母鴉
577	人多到……我想爆炸
578	吃晚餐
579	感謝主歡迎緬甸永生學校校長“張明周牧師”
580	西門町遇到……超跑小公主
581	來看人擠人
582	慶祝芝蘭教會……31周年堂慶
583	10：01出發來去中壢
584	祝大家中秋節快樂
585	陪兒子上課
586	和好朋友吃午餐
587	吃晚餐
588	吃晚餐
589	出發來去三峽走走
590	帶兒子吃宵夜
591	終於買好女兒的運動鞋
592	主日禮拜
593	禱告會
594	null
595	null
596	null
597	公園吃雞排等阿男下班
598	來去臺中總公司考電腦測驗
599	玩的很開心洗香香囉來去吃客家菜
600	主日學
601	好餓喔
602	朋友開的順便來深坑走走曬太陽
603	逛夜市
604	朋友開的，很好吃喔
605	早安，臺中
606	五天不見女兒&兒子，女兒明天要跟外婆出門玩。兒子明天跟著我們去臺中、雲林、臺南玩
607	感謝主考完了~一切順利來吃晚餐
608	慶祝爸爸節
609	我到台中市了，要想辦法到大榮路
610	好朋友過生日
611	很好吃的晚餐
612	來保養車車
613	來吃德國豬腳
614	null
615	吃午餐
616	來吃晚餐
617	吃飽囉
618	來找廟公好友
619	來西螺一定要喝這家喔！
620	早安，我的朋友
621	吃晚餐囉
622	小朋友的聚會
623	吃晚餐差一點沒的吃
624	吃早餐
625	吃宵夜啦！
626	吃午餐
627	主日學
628	下雨了
629	來找好朋友
630	好熱，來點比較沒溫度的來吃吃
631	來接機
632	吃晚餐
633	好開心又充實的一天
634	和好朋友吃宵夜
635	吃宵夜
636	加盟展還有~~三天有空的記得來找我
637	想參觀加盟館的來找我喔！
638	這雨~~只能用誇張來形容
639	吃晚餐
640	買午餐好多人，前面排５個欸真誇張
641	喝咖啡聊是非
642	吃飯+遊戲
643	吃晚餐囉
644	吃飽囉
645	來Diy水果塔
646	回來家囉，好充實的一天，周公在想我啦！
647	來找朋友吃晚餐
648	null
649	出發，台中我來了
650	陪老公兒子吃宵夜
651	來試吃新口味漢堡
652	吃飽囉回家去
653	來接外婆過母親節
654	女兒想來吃這間，便宜還不錯吃
655	外婆想逛逛
656	點燈
657	null
658	買華飽
659	難得兒子去媽媽家我又餓了一天來補一下
660	帶兒子吃個麥當勞兩點才上課
661	陪小孩打彈珠
662	來去接我老媽咪
663	表姐來家裡做客，先回家
664	吃午餐
665	帶兒子來玩坐火車
666	好想喝麻油雞湯
667	null
668	null
669	陪小孩吃麥當勞
670	我來過兒童節
671	暈，找不到兒子的健保卡明天要上課來辦新卡片
672	跟好多人在這裡喔！
673	null
674	帶兒童來玩玩
675	剪頭毛
676	買宵夜
677	null
678	吃飽囉回家睡覺
679	吃早餐
680	買食材回家包水餃
681	帶兒子溜滑梯
682	看櫻花
683	吃晚餐
684	吃了三天素食來開葷囉
685	null
686	null
687	泡湯
688	null
689	拍櫻花
690	來看痘痘啦！
691	來看痘痘啦！
692	null
693	散步中
694	看櫻花＋晒太陽
695	還好人不多看完主燈秀有水慕哦
696	來去國父紀念館看花燈
697	武松
698	帶婆婆來台大來公園吃早餐
699	早安：肚子餓
700	陪老公剪帥帥
701	null
702	null
703	null
704	null
705	null
706	等12點跨年看煙火
707	null
708	null
709	今晚在這兒睡…
710	null
711	陪老公剪頭毛
712	null
713	null
714	吃晚餐ing
715	null
716	看湖＋下午荼
717	好餓
718	null
719	null
720	null
721	陪婆婆複診中
722	下午茶帶小朋友跟兔子玩
723	晒太陽等風…想放風箏
724	陪寶貝女兒英檢
725	null
726	null
727	null
728	null
729	null
730	null
731	拜拜ing
732	陪老公＋兒子吃早餐
733	null
734	null
735	排隊ing
736	null
737	null
738	null
739	null
740	null
741	null
742	null
743	null
744	null
745	null
746	開飯囉！
747	null
748	null
749	null
750	null
751	null
752	null
753	null
754	null
755	null
756	累了！要回家啦！！
757	null
758	null
759	null
760	null
761	null
762	null
763	剛睡醒
764	null
765	null
766	帶皓婷看蜜蜂姐姐＋DlY
767	null
768	陪老公剪髮ing
769	null
770	null
771	好餓好餓
772	null
773	null
774	null
775	null
776	肚子餓吃肉粽中…
777	null
778	吃美味海鮮ing∼
779	吃宵夜中…ing
780	開心吃早餐
781	吃飽飽！心情好！
782	null
783	null
784	null
785	null
786	回家陪老爸吃晚餐
787	null
788	null
789	杯子蛋糕DIY
790	null
791	老公剪帥帥女兒剪美美
792	null
793	null
794	null
795	null
796	null
797	null
798	null
799	null
800	null
801	null
802	null
803	null
804	null
805	null
806	吃飽了！!
807	吃晚餐
808	null
809	null
810	今晚吃德國豬腳Yummy
811	來去Shooing
812	null
813	陪寶貝避暑遊戲ing
814	開心吃早餐
815	null
816	員工訓練
817	下午國圖講座
818	朋友從USA回耒聚會
819	清早6：50送老公去机場7：28，吃個早餐8：20開回家9：15，送女兒上班10：30，再開車回媽媽家10：40@@真睏的一個上午
820	帶老公吃下午茶
821	週六碩班新生報到日
822	小籠包十上海粽十桂花酒釀湯圓
823	Young Art Taipei
